chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT02034097. Study Title: A Study to Evaluate Foretinib in Subjects With Non-Small-Cell Lung Cancer. Sponsor: GlaxoSmithKline. Condition or Disease: Cancer. Intervention or Drug or Treatment: DRUG: Foretinib|DRUG: Erlotinib. Phase: PHASE2. Study Status: WITHDRAWN. Enrollment: 0.0. Summary: Foretinib (GSK1363089) is an investigational, oral, multikinase inhibitor involved in invasion, migration, and angiogenesis. This is a phase II, open label, uncontrolled, parallel, multi-cohort, multicenter 2-stage study to assess the safety and efficacy of foretinib and erlotinib combination therapy and foretinib monotherapy in genomic subpopulations of Non-Small-Cell Lung Cancer (NSCLC) subjects.. ",NCT02034097,Cancer,PHASE2,WITHDRAWN,0.0,GlaxoSmithKline,DRUG: Foretinib|DRUG: Erlotinib,2014,2016
"NCT Number: NCT00182806. Study Title: Irinotecan and Gemcitabine in Treating Patients With Recurrent or Progressive Stage III or Stage IV Non-Small Cell Lung Cancer. Sponsor: Roswell Park Cancer Institute. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: gemcitabine hydrochloride|DRUG: irinotecan hydrochloride. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 38.0. Summary: RATIONALE: Drugs used in chemotherapy, such as irinotecan and gemcitabine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Irinotecan may also increase the effectiveness of gemcitabine. Giving irinotecan together with gemcitabine may kill more tumor cells.
PURPOSE: This phase II trial is studying how well giving irinotecan together with gemcitabine works in treating patients with recurrent or progressive stage III or stage IV non-small cell lung cancer.. ",NCT00182806,Lung Cancer,PHASE2,COMPLETED,38.0,Roswell Park Cancer Institute,DRUG: gemcitabine hydrochloride|DRUG: irinotecan hydrochloride,2004,2008
"NCT Number: NCT00432562. Study Title: A Bioequivalence Study of Vinorelbine Tartrate Injectable Emulsion in Patients With Advanced Cancer.. Sponsor: Mast Therapeutics, Inc.. Condition or Disease: Breast Cancer|Non-small Cell Lung Cancer|Non-Hodgkins Lymphoma. Intervention or Drug or Treatment: DRUG: Vinorelbine Tartrate. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 31.0. Summary: This study was a randomized, single dose crossover comparison of the investigational product with a Reference Product (vinorelbine tartrate injection, NAVELBINE®). The primary objective was to demonstrate the equivalence of ANX-530 and the Reference Product, NAVELBINE.. ",NCT00432562,Breast Cancer|Non-small Cell Lung Cancer|Non-Hodgkins Lymphoma,PHASE1,COMPLETED,31.0,"Mast Therapeutics, Inc.",DRUG: Vinorelbine Tartrate,2007,2007
"NCT Number: NCT04946968. Study Title: Phase-2 Dacomitinib Study on Patients With EGFR-Driven Advanced Solid Tumours With Low EGFR-AS1 IncRNA Expr or Other Novel Emerging Biomarkers. Sponsor: National Cancer Centre, Singapore. Condition or Disease: Advanced Solid Tumours|Non-small Cell Lung Cancer|Head and Neck Squamous Cell Carcinoma. Intervention or Drug or Treatment: DRUG: Oral Dacomitinib. Phase: PHASE2. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 24.0. Summary: Eligible subjects will be allocated to one of four cohorts based on tumour type and presence of specific biomarker.
Subjects will receive open-label Dacomitinib as tablets for oral administration on a continuous daily basis at a dose of 30 mg for one cycle. After one cycle, a toxicity assessment will be conducted. Subjects with \>=G2 toxicity attributable to dacomitinib, will continue dacomitinib at 30 mg orally once daily.
In subjects with \<=G1 toxicity, investigator and subjects will make a shared decision for dose escalation of dacomitinib to 45 mg orally once daily or continuation of dacomitinib at 30 mg orally once daily. Subjects will then continue on therapy until disease progression, new systemic anticancer therapy instituted, intolerable toxicities, withdrawal of consent, death, or investigator decision dictated by protocol compliance, whichever occurs first.. ",NCT04946968,Advanced Solid Tumours|Non-small Cell Lung Cancer|Head and Neck Squamous Cell Carcinoma,PHASE2,ACTIVE_NOT_RECRUITING,24.0,"National Cancer Centre, Singapore",DRUG: Oral Dacomitinib,2021,2027
"NCT Number: NCT07373899. Study Title: Comparison of the Effect of Surgical Resection Based on Lesion Extent Before and After Neoadjuvant Therapy in Patients With Stage II-IIIB Non-Small Cell Lung Cancer: A Single-Center, Real-World, Open-Label Study.. Sponsor: Cancer Institute and Hospital, Chinese Academy of Medical Sciences. Condition or Disease: Carcinoma, Non-Small-Cell Lung|Neoadjuvant Immunotherapy|Surgery. Intervention or Drug or Treatment: . Phase: . Study Status: NOT_YET_RECRUITING. Enrollment: 354.0. Summary: This study intends to conduct a prospective, non-interventional study to compare the survival benefits of different surgical resection patterns for patients with non-small cell lung cancer who have achieved partial response (PR) after immunotherapy induction. The study plans to enroll patients suitable for surgery as assessed by radiomics evaluation and multidisciplinary team (MDT) discussion, and will assign them to the modified surgery group and the conventional surgery group based on patient preference. The resection scope in the modified surgery group is more limited compared to conventional surgery, aiming to maximize preservation of pulmonary function while ensuring oncological safety. This study will systematically evaluate the impact of different resection scopes on patient prognosis after neoadjuvant immunotherapy, providing clinical evidence for exploring individualized surgical strategies for non-small cell lung cancer in the era of immunotherapy.. ",NCT07373899,"Carcinoma, Non-Small-Cell Lung|Neoadjuvant Immunotherapy|Surgery",,NOT_YET_RECRUITING,354.0,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,2026,2030
"NCT Number: NCT05118854. Study Title: A Phase II Study of Neoadjuvant Sotorasib in Combination With Cisplatin or Carboplatin and Pemetrexed for Surgically Resectable Stage IIA-IIIB Non-Squamous Non-Small Cell Lung Cancer With a KRAS p.G12C Mutation. Sponsor: M.D. Anderson Cancer Center. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: AMG 510|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 27.0. Summary: This is a phase II, single-arm, open-label study evaluating the efficacy, safety and tolerability of neoadjuvant sotorasib in combination with cisplatin (or carboplatin) and pemetrexed chemotherapy for patients with surgically resectable stage IIA - IIIB (T3-T4/N2) (based on AJCC 8th edition), non-squamous NSCLC with a KRAS p.G12C mutation. The primary objective of the study is to determine whether neoadjuvant therapy with 4 cycles of at least one dose of sotorasib plus cisplatin (or carboplatin) and pemetrexed can be administered safely and result in improved MPR rate in patients with KRAS p.G12C-mutant non-squamous NSCLC compared with the historical control MPR rate for platinum-based chemotherapy alone.. ",NCT05118854,Lung Cancer,PHASE2,RECRUITING,27.0,M.D. Anderson Cancer Center,DRUG: AMG 510|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed,2022,2027
"NCT Number: NCT00551369. Study Title: Stereotactic Body Radiation Therapy in Treating Patients With Stage I or Stage II Non-Small Cell Lung Cancer That Can Be Removed By Surgery. Sponsor: Radiation Therapy Oncology Group. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: RADIATION: SBRT. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 33.0. Summary: RATIONALE: Stereotactic body radiation therapy may be able to send x-rays directly to the tumor and cause less damage to normal tissue near the tumor.
PURPOSE: This phase II trial is studying how well stereotactic body radiation therapy works in treating patients with stage I or stage II non-small cell lung cancer that can be removed by surgery.. ",NCT00551369,Lung Cancer,PHASE2,COMPLETED,33.0,Radiation Therapy Oncology Group,RADIATION: SBRT,2007,2018
"NCT Number: NCT00281970. Study Title: Docetaxel and Cisplatin in Treating Patients With Stage I, Stage II, or Stage III Non-Small Cell Lung Cancer That Has Been Completely Removed By Surgery. Sponsor: Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: cisplatin|DRUG: docetaxel|PROCEDURE: adjuvant therapy. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 50.0. Summary: RATIONALE: Drugs used in chemotherapy, such as docetaxel and cisplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving chemotherapy drugs after surgery may kill any tumor cells that remain after surgery.
PURPOSE: This phase II trial is studying how well giving docetaxel together with cisplatin works in treating patients with stage I, stage II, or stage III non-small cell lung cancer that has been completely removed by surgery.. ",NCT00281970,Lung Cancer,PHASE2,COMPLETED,50.0,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,DRUG: cisplatin|DRUG: docetaxel|PROCEDURE: adjuvant therapy,2004,2009
NCT Number: NCT01000896. Study Title: Study to Assess Safety and Tolerability of AZD0530 in Combination With Carboplatin and Paclitaxel. Sponsor: AstraZeneca. Condition or Disease: Cancer|Non Small Cell Lung Cancer|Epithelial Ovarian Cancer. Intervention or Drug or Treatment: DRUG: AZD0530|DRUG: Carboplatin|DRUG: paclitaxel. Phase: PHASE1. Study Status: WITHDRAWN. Enrollment: 27.0. Summary: The primary purpose of this study is to explore the safety and tolerability of AZD0530 in combination with carboplatin and paclitaxel in Japanese patients with non small cell lung cancer and epithelial ovarian cancer.. ,NCT01000896,Cancer|Non Small Cell Lung Cancer|Epithelial Ovarian Cancer,PHASE1,WITHDRAWN,27.0,AstraZeneca,DRUG: AZD0530|DRUG: Carboplatin|DRUG: paclitaxel,2010,2011
"NCT Number: NCT06925048. Study Title: SHR0302 Combined With PD-1/PD-L1 Inhibition for Treatment naïve or Acquired Resistant to Immunology NSCLC. Sponsor: Chunxia Su. Condition or Disease: Non-Small Cell Lung Cancer|JAK Inhibitor|Immunology. Intervention or Drug or Treatment: DRUG: PD-1 inhbitor+SHR0302|DRUG: PD-L1 inhibitor+SHR0302. Phase: PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 86.0. Summary: Recent studies showed that the dysregulated activation of the JAK/STAT pathway, which leads to the prolonged release of IFN-γ, is a significant contributor to the resistance to immune checkpoint inhibitors in cancer immunotherapy. Preclinical and clinical studies have demonstrated that the combination of JAK inhibitors with PD-1 immunotherapy can reverse or delay onset of immunotherapy resistance by modulating the JAK/STAT pathway in Hodgkin's lymphoma and non - small cell lung cancer (NSCLC). SHR0302, being a highly selective JAK1 inhibitor, has shown excellent clinical benefits by effectively inhibiting the JAK/STAT pathway, leading to its approval for the treatment of Ankylosing Spondylitis in China. Preclinical studies also show that the combination of SHR0302 and PD-L1 inhibitor has synergistic potentials for anti-tumor effect in resistant to-immune checkpoint blockade patients. Thus, we conducted a phase 2 clinical trial evaluating SHR0302 combined with PD1/PD-L1 inhibitors as treatment-naïve or acquired resistant to first-line checkpoint inhibitor resistant NSCLC patients.. ",NCT06925048,Non-Small Cell Lung Cancer|JAK Inhibitor|Immunology,PHASE2,NOT_YET_RECRUITING,86.0,Chunxia Su,DRUG: PD-1 inhbitor+SHR0302|DRUG: PD-L1 inhibitor+SHR0302,2025,2027
NCT Number: NCT03031522. Study Title: EGFR Molecular Classification In Vivo. Sponsor: Harbin Medical University. Condition or Disease: Molecular Imaging. Intervention or Drug or Treatment: RADIATION: 18F-IRS. Phase: . Study Status: COMPLETED. Enrollment: 10.0. Summary: The investigators developed 18F-IRS as a targeted molecular imaging agent for noninvasive and repeatable detecting EGFR-activating mutational status.. ,NCT03031522,Molecular Imaging,,COMPLETED,10.0,Harbin Medical University,RADIATION: 18F-IRS,2014,2019
"NCT Number: NCT06897046. Study Title: Perioperative Study of Iparomlimab and Tuvonralimab in Resectable NSCLC. Sponsor: Cancer Institute and Hospital, Chinese Academy of Medical Sciences. Condition or Disease: Non-small Cell Lung Cancer (NSCLC)|II-IIIB. Intervention or Drug or Treatment: DRUG: QL1706|DRUG: QL1706+Carboplatin+Paclitaxel（Albumin-bound ）/ Pemetrexed. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 90.0. Summary: This project intends to study the efficacy and safety of Iparomlimab and Tuvonralimab with or without chemotherapyin the perioperative treatment of NSCLC. ",NCT06897046,Non-small Cell Lung Cancer (NSCLC)|II-IIIB,PHASE2,RECRUITING,90.0,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",DRUG: QL1706|DRUG: QL1706+Carboplatin+Paclitaxel（Albumin-bound ）/ Pemetrexed,2025,2027
"NCT Number: NCT06272864. Study Title: BostonGene and Exigent Genomic INsight Study. Sponsor: BostonGene. Condition or Disease: Breast Cancer|Non-small Cell Lung Cancer|Melanoma|Sarcoma. Intervention or Drug or Treatment: . Phase: . Study Status: RECRUITING. Enrollment: 400.0. Summary: The BEGIN Study by BostonGene and Exigent Genomic INsight evaluates the efficacy of comprehensive molecular testing in advanced cancer patients. Using the BostonGene Tumor Portrait test, the study aims to identify actionable findings, assess feasibility, and determine patient enrollment in clinical trials. Four cohorts of 100 patients each will be studied over two years, focusing on treatment decisions and patient outcomes. This study seeks to demonstrate the clinical utility of genomic testing in guiding therapy for advanced cancer patients in community settings.. ",NCT06272864,Breast Cancer|Non-small Cell Lung Cancer|Melanoma|Sarcoma,,RECRUITING,400.0,BostonGene,,2024,2028
"NCT Number: NCT06495346. Study Title: Identification and Characterisation of Sleep Disorders in a Population of Patients With Non-small Cell Lung Cancer. Sponsor: University Hospital, Strasbourg, France. Condition or Disease: Cell Lung Cancer|Sleep Disorders. Intervention or Drug or Treatment: OTHER: self-questionnaires exploring. Phase: . Study Status: UNKNOWN. Enrollment: 100.0. Summary: This exploratory study will identify and characterise disorders frequently reported by patients as contributing to or altering their quality of life. This will enable a decision tree to be drawn up for diagnosis, referral and treatment of the sleep disorders collected, tailored to patients in this population.
This decision tree should help to improve the management of patients with a cancer diagnosis presenting with sleep disorders.. ",NCT06495346,Cell Lung Cancer|Sleep Disorders,,UNKNOWN,100.0,"University Hospital, Strasbourg, France",OTHER: self-questionnaires exploring,2023,2025
"NCT Number: NCT01167530. Study Title: Study to Evaluate RAD001 in Combination With Radiotherapy in Non-small Cell Lung Cancer. Sponsor: Gustave Roussy, Cancer Campus, Grand Paris. Condition or Disease: Non-small Cell Lung Cancer|Locally Advanced Disease. Intervention or Drug or Treatment: DRUG: Everolimus. Phase: PHASE1. Study Status: UNKNOWN. Enrollment: 36.0. Summary: The phase 1 study evaluats RAD001 in combination with radiotherapy in non-small cell lung cancer.
First phase of the study:RAD001 (everolimus) will be administered per os every Monday, one week before then during the radiotherapy and will be continued for 3.5 weeks after the end of the radiotherapy. Chemotherapy is given 4.5 weeks after the end of radiotherapy. Three patient cohorts are planned, receiving 10, 20 and 50 mg of RAD001 per week.Second phase of the study:RAD001 (everolimus) will be administered per os every day one week before then during the radiotherapy and will be continued for 3.5 weeks after the end of radiotherapy. Chemotherapy is given 4.5 weeks after the end of radiotherapy. Three patient cohorts are planned, receiving 2.5, 5 and 10 mg of RAD001 per day.The two phases of the study may be conducted independently and in parallel.Radiotherapy: 66 Grays over 6.5 weeks. (5 weekly fractions of 2 Grays)Chemotherapy: 2 cycles: Cisplatin 100 mg/m2 D1, Navelbine 25 mg/m2 D1, D8, every 21 days.. ",NCT01167530,Non-small Cell Lung Cancer|Locally Advanced Disease,PHASE1,UNKNOWN,36.0,"Gustave Roussy, Cancer Campus, Grand Paris",DRUG: Everolimus,2008,2014
NCT Number: NCT02085070. Study Title: MK-3475 in Melanoma and NSCLC Patients With Brain Metastases. Sponsor: Yale University. Condition or Disease: Melanoma|Non-Small Cell Lung Cancer|Brain Metastases. Intervention or Drug or Treatment: DRUG: MK-3475. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 65.0. Summary: The purpose of this trial is to study the activity of MK-3475 in untreated brain metastases from melanoma or non-small cell lung cancer.. ,NCT02085070,Melanoma|Non-Small Cell Lung Cancer|Brain Metastases,PHASE2,COMPLETED,65.0,Yale University,DRUG: MK-3475,2014,2020
"NCT Number: NCT01913067. Study Title: Evaluation of Cabazitaxel in Patients With Brain Metastasis Secondary to Breast Cancer and NSCLC. Sponsor: Jules Bordet Institute. Condition or Disease: Brain Metastasis|Breast Cancer|Non Small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: Cabazitaxel|PROCEDURE: Contrast-enhanced whole brain MRI. Phase: PHASE2. Study Status: WITHDRAWN. Enrollment: 0.0. Summary: A phase II trial evaluating Cabazitaxel in patients with brain metastasis secondary to breast and non-small-cell lung cancer (NSCLC).
OBJECTIVES:
Primary:
The purpose of this study is to determine if cabazitaxel can induce a reduction in the size brain metastasis in metastatic HER2-negative breast cancer and NSCLC with brain metastasis who were not previously treated with whole brain irradiation or require immediate brain irradiation.
Secondary:
* To determine the effect of cabazitaxel on the time to initiating whole brain irradiation or radiosurgery
* To determine the effect of cabazitaxel on the time to developing neurological symptoms
* To determine the effect of cabazitaxel on the time to disease progression in the brain
* To determine the effect of cabazitaxel on the time to disease progression outside the brain. This will be evaluated separately for the breast and NSCLC cohorts To determine the objective extra-cranial response (if applicable). This will be evaluated separately in the breast and NSCLC cohorts
* To determine the safety of cabazitaxel. ",NCT01913067,Brain Metastasis|Breast Cancer|Non Small Cell Lung Cancer,PHASE2,WITHDRAWN,0.0,Jules Bordet Institute,DRUG: Cabazitaxel|PROCEDURE: Contrast-enhanced whole brain MRI,2013,2016
"NCT Number: NCT00032084. Study Title: S0002 - A Program to Quit Smoking With or Without Bupropion in Treating Patients With Stage I or II Non-Small Cell Lung Cancer Who Have Undergone Surgery. Sponsor: SWOG Cancer Research Network. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: BEHAVIORAL: smoking cessation intervention|DRUG: bupropion hydrochloride|DRUG: nicotine|PROCEDURE: psychosocial assessment and care. Phase: PHASE3. Study Status: TERMINATED. Enrollment: 10.0. Summary: RATIONALE: A program that includes bupropion may be more effective in helping early-stage lung cancer patients to quit smoking. It is not yet known if a program to quit smoking is more effective with or without bupropion.
PURPOSE: Randomized phase III trial to determine the effectiveness of a program to quit smoking with or without bupropion in treating patients who have undergone surgery for stage I or stage II non-small cell lung cancer.. ",NCT00032084,Lung Cancer,PHASE3,TERMINATED,10.0,SWOG Cancer Research Network,BEHAVIORAL: smoking cessation intervention|DRUG: bupropion hydrochloride|DRUG: nicotine|PROCEDURE: psychosocial assessment and care,2002,2004
"NCT Number: NCT07391813. Study Title: SNB-101 for Treatment of Extensive Stage Small Cell Lung Cancer. Sponsor: SN BioScience. Condition or Disease: Patient is Not Suitable for Complete Surgical Resection With a Cytologically or Histologically Confirmed Small Cell Lung Cancer(SCLC). Intervention or Drug or Treatment: DRUG: SNB-101. Phase: PHASE1|PHASE2. Study Status: RECRUITING. Enrollment: 55.0. Summary: The purpose of the Phase 1 research is to test the safety, tolerability, maximum tolerated dose, and pharmacokinetics (PK- the study of how a medicine moves through subject body. It looks at how the drug is absorbed, travels in your blood, reaches different parts of subject body, and is eventually broken down and removed) of the SNB-101.The Phase 2 is to determine the optimal dose (amount of medicine that works best to treat a condition while causing the fewest side effects) of SNB-101 for further research and to collect a further information on PK, safety and tolerability. Once subject has completed assessments during screening and if subject is found eligible to participate in the study, study drug will be given by intravenous infusion on day 1 and day 15 of each cycle treatment. Throughout the treatment period, the study doctor will monitor subject for any changes to subject health. While subject is taking the study drug, we will ask subject the following: * How subject are feeling. * If subject has experienced any side effects. * If subject is taking other medications or if there are changes to the medications subject was taking before. The study",NCT07391813,Patient is Not Suitable for Complete Surgical Resection With a Cytologically or Histologically Confirmed Small Cell Lung Cancer(SCLC),PHASE1|PHASE2,RECRUITING,55.0,SN BioScience,DRUG: SNB-101,2026,2028
"feeling. * If subject has experienced any side effects. * If subject is taking other medications or if there are changes to the medications subject was taking before. The study drug will be taken over multiple cycles. A cycle is the time between the start of 1 round of treatment until the start of the next round. In this study, each treatment cycle is of 28 days..",NCT07391813,Patient is Not Suitable for Complete Surgical Resection With a Cytologically or Histologically Confirmed Small Cell Lung Cancer(SCLC),PHASE1|PHASE2,RECRUITING,55.0,SN BioScience,DRUG: SNB-101,2026,2028
"NCT Number: NCT05973773. Study Title: REZILIENT3 (REsearching ZIpaLertinib In Egfr Non-small Cell Lung Cancer Tumors). Sponsor: Taiho Oncology, Inc.. Condition or Disease: Advanced or Metastatic NSCLS With Exon 20 Insertion Mutation. Intervention or Drug or Treatment: DRUG: TAS6417. Phase: PHASE3. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 285.0. Summary: The purpose of this study is to evaluate the safety and efficacy of zipalertinib in combination with standard first-line platinum-based chemotherapy compared to chemotherapy alone, in patients with locally advanced or metastatic NSCLC with EGFR ex20ins mutations.. ",NCT05973773,Advanced or Metastatic NSCLS With Exon 20 Insertion Mutation,PHASE3,ACTIVE_NOT_RECRUITING,285.0,"Taiho Oncology, Inc.",DRUG: TAS6417,2023,2027
NCT Number: NCT01664663. Study Title: Phase II Randomized Study on Locally Advanced NSCLC Escalated Dose on Individual Basis Treatment With Radiochemotherapy. Sponsor: Ass. Prof. Jan Nyman. Condition or Disease: Non Small Cell Lung Cancer|Locally Advanced Disease. Intervention or Drug or Treatment: RADIATION: Standard radiochemotherapy to 68 Gy|RADIATION: Dose escalated radiochemotherapy up to 84 Gy. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 37.0. Summary: The purpose of this study is to examine the valu of individually dose escalated radiotherapy compared with a standard dose of radiotherapy combined with standard concomitant chemotherapy for patients with locally advanced non small cell lung cancer (stage III) with good performance status.. ,NCT01664663,Non Small Cell Lung Cancer|Locally Advanced Disease,PHASE2,TERMINATED,37.0,Ass. Prof. Jan Nyman,RADIATION: Standard radiochemotherapy to 68 Gy|RADIATION: Dose escalated radiochemotherapy up to 84 Gy,2011,2015
"NCT Number: NCT01786590. Study Title: Endobronchial Ultrasound-guided Transbronchial Needle Aspiration for Lymph Node Staging in Patients With Non-small Cell Lung Cancer Pursuing Stereotactic Body Radiotherapy (SBRT). Sponsor: University Health Network, Toronto. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: PROCEDURE: EBUS-TBNA. Phase: . Study Status: RECRUITING. Enrollment: 150.0. Summary: It is reported that more than 90,000 patients died of lung cancer and more than 20% of them were older than 80 years in North America. Therefore a less invasive but effective treatment is required for patients with lung cancer of advanced age, diminished pulmonary functions, and chronic diseases. Stereotactic body radiation therapy (SBRT) is an effective and well-tolerated treatment for early stage lung cancer in medically inoperable patients. On the other hand, accurate mediastinal and hilar lymph node staging is one of the most important factors that determine the outcome and indications for SBRT. Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) is a novel, minimally invasive modality that enables the assessment of mediastinal and hilar lymph nodes with a high sensitivity. Accurate lymph node staging by EBUS-TBNA will allow opportunities for high-risk patients with lung cancer to undergo minimally invasive treatment.. ",NCT01786590,Lung Cancer,,RECRUITING,150.0,"University Health Network, Toronto",PROCEDURE: EBUS-TBNA,2013,2026
"NCT Number: NCT00405951. Study Title: Safety and Efficacy of Obatoclax Mesylate (GX15-070MS)in Combination With Docetaxel for the Treatment of Non-Small Cell Lung Cancer. Sponsor: Gemin X. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: Obatoclax mesylate 250 ml|DRUG: Docetaxel. Phase: PHASE1|PHASE2. Study Status: COMPLETED. Enrollment: 47.0. Summary: Defects in the apoptotic process can lead to the onset of cancer by allowing cells to grow unchecked when an oncogneic signal is present. Obatoclax is designed to restore apoptosis through inhibition of the Bcl-2 family of proteins, thereby reinstating the natural process of cell death that is often inhibited in cancer cells.
This is a multi-center, open-label, Phase I/II study of obatoclax administered in combination with docetaxel in 3-week cycles to patients with relapsed or refractory Non-Small Cell Lung Cancer. Treatment may be administered on an outpatient basis. No investigation or commercial agents or therapies other than those described herein may be administered with the intent to treat the patient's malignancy. Supportive care measures including those directed at controlling symptoms resulting from Non-Small Cell Lung Cancer are allowed.. ",NCT00405951,Lung Cancer,PHASE1|PHASE2,COMPLETED,47.0,Gemin X,DRUG: Obatoclax mesylate 250 ml|DRUG: Docetaxel,2006,2009
"NCT Number: NCT00077064. Study Title: Captopril in Treating Patients With Non-Small Cell Lung Cancer or Limited-Stage Small Cell Lung Cancer That Has Been Previously Treated With Radiation Therapy With or Without Chemotherapy. Sponsor: Radiation Therapy Oncology Group. Condition or Disease: Lung Cancer|Pulmonary Complications|Radiation Fibrosis. Intervention or Drug or Treatment: DRUG: captopril. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 81.0. Summary: RATIONALE: Captopril is a drug that may be able to decrease side effects caused by radiation therapy, and may improve the quality of life of patients with non-small cell lung cancer or limited-stage small cell lung cancer.
PURPOSE: This randomized phase II trial is studying how well captopril works in decreasing side effects and improving the quality of life in patients who have received radiation therapy with or without chemotherapy for stage I, stage II, or stage IIIB non-small cell lung cancer or limited-stage small cell lung cancer.. ",NCT00077064,Lung Cancer|Pulmonary Complications|Radiation Fibrosis,PHASE2,TERMINATED,81.0,Radiation Therapy Oncology Group,DRUG: captopril,2003,2016
"NCT Number: NCT00062335. Study Title: High-Dose 3-Dimensional Conformal Radiation Therapy in Treating Patients With Inoperable Stage I, Stage II, or Stage IIIA Non-Small Cell Lung Cancer. Sponsor: European Organisation for Research and Treatment of Cancer - EORTC. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: RADIATION: radiation therapy. Phase: PHASE1. Study Status: TERMINATED. Enrollment: 14.0. Summary: RATIONALE: Using computer systems that create a 3-dimensional picture of the tumor to plan treatment may enable doctors to provide more effective radiation therapy that will cause less damage to normal tissue.
PURPOSE: This phase I trial is studying the side effects and best dose of high-dose 3-dimensional conformal radiation therapy in treating patients with inoperable stage I, stage II, or stage IIIA non-small cell lung cancer.. ",NCT00062335,Lung Cancer,PHASE1,TERMINATED,14.0,European Organisation for Research and Treatment of Cancer - EORTC,RADIATION: radiation therapy,2003,
NCT Number: NCT00693992. Study Title: Sunitinib Malate as Maintenance Therapy in Treating Patients With Stage III or Stage IV Non-Small Cell Lung Cancer Previously Treated With Combination Chemotherapy. Sponsor: National Cancer Institute (NCI). Condition or Disease: Stage IIIB Lung Non-Small Cell Cancer AJCC v7|Stage IV Non-Small Cell Lung Cancer AJCC v7. Intervention or Drug or Treatment: OTHER: Laboratory Biomarker Analysis|OTHER: Placebo|OTHER: Quality-of-Life Assessment|DRUG: Sunitinib Malate. Phase: PHASE3. Study Status: COMPLETED. Enrollment: 210.0. Summary: This randomized phase III trial studies sunitinib malate to see how well it works when given as maintenance therapy (meaning it is approved for treatment after chemotherapy) in patients with stage IIIB-IV non-small cell lung cancer who have responded to prior treatment with combination chemotherapy. Sunitinib malate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth and by blocking the growth of new blood vessels necessary for tumor growth. It is not yet known whether sunitinib malate is effective in helping tumors continue to shrink or stop growing.. ,NCT00693992,Stage IIIB Lung Non-Small Cell Cancer AJCC v7|Stage IV Non-Small Cell Lung Cancer AJCC v7,PHASE3,COMPLETED,210.0,National Cancer Institute (NCI),OTHER: Laboratory Biomarker Analysis|OTHER: Placebo|OTHER: Quality-of-Life Assessment|DRUG: Sunitinib Malate,2008,2015
